"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"14/04/2026 12:30:00 - 14/04/2026 12:45:00","BZN|DK1","N/A","571.44","564.29","897.38"
"14/04/2026 12:45:00 - 14/04/2026 13:00:00","BZN|DK1","N/A","619.25","650.06","951.13"
"14/04/2026 13:00:00 - 14/04/2026 13:15:00","BZN|DK1","N/A","674.35","735.63","1046.58"
"14/04/2026 13:15:00 - 14/04/2026 13:30:00","BZN|DK1","N/A","727.60","763.12","1063.55"
"14/04/2026 13:30:00 - 14/04/2026 13:45:00","BZN|DK1","N/A","773.11","802.77","1087.75"
"14/04/2026 13:45:00 - 14/04/2026 14:00:00","BZN|DK1","N/A","816.75","786.91","1114.32"
"14/04/2026 14:00:00 - 14/04/2026 14:15:00","BZN|DK1","N/A","858.80","835.93","1064.06"
"14/04/2026 14:15:00 - 14/04/2026 14:30:00","BZN|DK1","N/A","896.13","912.50","1226.25"
"14/04/2026 14:30:00 - 14/04/2026 14:45:00","BZN|DK1","N/A","929.55","830.63","1236.08"
"14/04/2026 14:45:00 - 14/04/2026 15:00:00","BZN|DK1","N/A","968.20","913.66","1101.12"
"14/04/2026 15:00:00 - 14/04/2026 15:15:00","BZN|DK1","N/A","1005.65","910.69","1227.02"
"14/04/2026 15:15:00 - 14/04/2026 15:30:00","BZN|DK1","N/A","1030.54","864.46","1099.78"
"14/04/2026 15:30:00 - 14/04/2026 15:45:00","BZN|DK1","N/A","1037.25","789.78","1088.03"
"14/04/2026 15:45:00 - 14/04/2026 16:00:00","BZN|DK1","N/A","1040.79","757.89","1160.15"
"14/04/2026 16:00:00 - 14/04/2026 16:15:00","BZN|DK1","N/A","1038.61","817.03","1170.98"
"14/04/2026 16:15:00 - 14/04/2026 16:30:00","BZN|DK1","N/A","1021.95","849.35","1139.38"
"14/04/2026 16:30:00 - 14/04/2026 16:45:00","BZN|DK1","N/A","985.93","809.16","1067.11"
"14/04/2026 16:45:00 - 14/04/2026 17:00:00","BZN|DK1","N/A","938.84","736.06","1073.80"
"14/04/2026 17:00:00 - 14/04/2026 17:15:00","BZN|DK1","N/A","884.39","727.60","1026.87"
"14/04/2026 17:15:00 - 14/04/2026 17:30:00","BZN|DK1","N/A","823.41","687.89","828.92"
"14/04/2026 17:30:00 - 14/04/2026 17:45:00","BZN|DK1","N/A","757.23","631.00","893.51"
"14/04/2026 17:45:00 - 14/04/2026 18:00:00","BZN|DK1","N/A","687.90","596.54","753.10"
"14/04/2026 18:00:00 - 14/04/2026 18:15:00","BZN|DK1","N/A","613.56","524.33","637.34"
"14/04/2026 18:15:00 - 14/04/2026 18:30:00","BZN|DK1","N/A","532.65","418.29","524.18"
"14/04/2026 18:30:00 - 14/04/2026 18:45:00","BZN|DK1","N/A","445.95","322.94","417.81"
"14/04/2026 18:45:00 - 14/04/2026 19:00:00","BZN|DK1","N/A","357.95","258.45","363.77"
"14/04/2026 19:00:00 - 14/04/2026 19:15:00","BZN|DK1","N/A","272.40","183.77","248.03"
