"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"14/04/2026 13:15:00 - 14/04/2026 13:30:00","BZN|DK1","Without Sequence","105.83","",""
"14/04/2026 13:30:00 - 14/04/2026 13:45:00","BZN|DK1","Without Sequence","105.07","",""
"14/04/2026 13:45:00 - 14/04/2026 14:00:00","BZN|DK1","Without Sequence","100.95","",""
"14/04/2026 14:00:00 - 14/04/2026 14:15:00","BZN|DK1","Without Sequence","100.87","",""
"14/04/2026 14:15:00 - 14/04/2026 14:30:00","BZN|DK1","Without Sequence","105.19","",""
"14/04/2026 14:30:00 - 14/04/2026 14:45:00","BZN|DK1","Without Sequence","109.30","",""
"14/04/2026 14:45:00 - 14/04/2026 15:00:00","BZN|DK1","Without Sequence","120.28","",""
"14/04/2026 15:00:00 - 14/04/2026 15:15:00","BZN|DK1","Without Sequence","103.41","",""
"14/04/2026 15:15:00 - 14/04/2026 15:30:00","BZN|DK1","Without Sequence","112.60","",""
"14/04/2026 15:30:00 - 14/04/2026 15:45:00","BZN|DK1","Without Sequence","120.00","",""
"14/04/2026 15:45:00 - 14/04/2026 16:00:00","BZN|DK1","Without Sequence","126.26","",""
"14/04/2026 16:00:00 - 14/04/2026 16:15:00","BZN|DK1","Without Sequence","110.29","",""
"14/04/2026 16:15:00 - 14/04/2026 16:30:00","BZN|DK1","Without Sequence","112.10","",""
"14/04/2026 16:30:00 - 14/04/2026 16:45:00","BZN|DK1","Without Sequence","124.71","",""
"14/04/2026 16:45:00 - 14/04/2026 17:00:00","BZN|DK1","Without Sequence","132.89","",""
"14/04/2026 17:00:00 - 14/04/2026 17:15:00","BZN|DK1","Without Sequence","115.99","",""
"14/04/2026 17:15:00 - 14/04/2026 17:30:00","BZN|DK1","Without Sequence","124.67","",""
"14/04/2026 17:30:00 - 14/04/2026 17:45:00","BZN|DK1","Without Sequence","135.59","",""
"14/04/2026 17:45:00 - 14/04/2026 18:00:00","BZN|DK1","Without Sequence","141.05","",""
"14/04/2026 18:00:00 - 14/04/2026 18:15:00","BZN|DK1","Without Sequence","132.43","",""
"14/04/2026 18:15:00 - 14/04/2026 18:30:00","BZN|DK1","Without Sequence","147.82","",""
